,Name,Position,Forward,Back,Apps,Mins,Points,Tackles attempted,Tackles completed,Tackles missed,Tackles +,Tackles ineffective,Offload allowed,Total carries,Total metres,Total metres/carry,Support carries,Tackled dominant,Tackled neutral,Tackled ineffective,No. of breaks,Defenders beaten,Off loads,Attempted passes,Completed passes,Turnovers won,Turnovers conceded,Total kicks in play,Successful kicks in to touch,Penalty kicks,Total kicks,+ve kicks %,-ve kicks %,Lineouts won caught,Lineout steals,Lineouts won thrown,Lineouts lost thrown,Attempted collections,Successful collections,Failed collections,Penalty goals attempted,Penalty goal scored,Penalty goal missed,Conversions attempted,Conversion scored,Conversion missed,Drop goals attempted,Drop goal scored,Drop goal missed,Penalties conceded,Yellow cards,Red cards
3972,Richard Thorpe,Back Row,1,0,55,2807,0.2850017812611329,11.058069112931957,9.804061275382972,1.2540078375489847,8.23655147844674,1.5105094406840043,0.9690060562878519,7.068044175276095,11.51407196294977,0.04642770952802326,0.25650160313501963,1.1115069469184182,4.902030637691486,0.0,0.2850017812611329,0.2850017812611329,0.22800142500890633,3.1350195938724617,2.5365158532240826,0.25650160313501963,0.5985037406483791,0.0,0.0,0.0,0.0,0.0,0.0,0.5415033843961525,0.17100106875667972,0.0,0.0,1.1970074812967582,1.0260064125400785,0.17100106875667972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8835055219095119,0.08550053437833986,0.0
3973,Richard Wigglesworth,Scrum Half,0,1,135,6641,1.0480349344978166,5.5895196506550215,4.324649902123174,1.2648697485318476,2.951362746574311,1.28896250564674,0.8432464990212317,4.541484716157205,16.118054509862972,0.04275346023836332,0.5300406565276313,0.3975304923957235,1.7105857551573558,0.15660292124680017,1.011895798825478,0.3372985996084927,0.4939015208552929,56.37705164884807,52.95588013853335,0.13251016413190783,1.1805450986297243,10.853787080258996,3.3007077247402496,1.590121969582894,12.44390904984189,4.240325252221051,8.239722933293178,0.072278271344677,0.0,0.012046378557446167,0.0,3.168197560608342,2.8188525824424033,0.34934497816593885,0.1806956783616925,0.09637102845956934,0.08432464990212317,0.04818551422978467,0.04818551422978467,0.0,0.0,0.0,0.0,0.3734377352808312,0.0361391356723385,0.0
3974,Richard Woolf,Full Back,0,1,5,290,5.517241379310345,6.896551724137931,5.241379310344827,1.6551724137931034,4.413793103448276,0.8275862068965517,1.3793103448275863,7.448275862068965,59.58620689655172,2.206896551724138,0.27586206896551724,0.27586206896551724,4.413793103448276,0.0,4.413793103448276,1.103448275862069,0.0,2.206896551724138,1.9310344827586208,0.5517241379310345,1.6551724137931034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0344827586206895,3.0344827586206895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3975,Richardt Strauss,Hooker,1,0,98,5117,0.6253664256400234,8.739495798319329,7.754543677936291,0.9849521203830369,6.300566738323236,1.438342778972054,0.7035372288450265,5.61266367011921,13.664256400234512,0.038061995543828726,0.3283173734610123,1.06312292358804,3.5333203048661326,0.1094391244870041,0.5940981043580222,0.5628297830760212,0.3126832128200117,2.110611686535079,1.6728551885870628,0.3439515341020129,0.6566347469220246,0.06253664256400235,0.015634160641000587,0.0,0.06253664256400235,0.04690248192300176,0.015634160641000587,0.015634160641000587,0.0,9.927692007035372,1.6415868673050615,1.7197576705100646,1.4227086183310533,0.2970490521790111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53156146179402,0.0,0.0
3976,Richie Arnold,Lock,1,0,4,152,0.0,12.631578947368421,11.052631578947368,1.5789473684210527,3.68421052631579,6.315789473684211,1.0526315789473684,6.315789473684211,5.7894736842105265,0.4824561403508772,0.5263157894736842,2.1052631578947367,3.68421052631579,0.5263157894736842,0.0,0.0,0.0,3.1578947368421053,2.1052631578947367,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5789473684210527,0.0,0.0,0.0,1.5789473684210527,1.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0
3977,Richie Gray,Lock,1,0,95,6250,0.384,9.5232,9.1008,0.4224,7.8208,1.2416,0.832,4.1984,5.8624,0.017873170731707317,0.1792,0.6656,2.7264,0.1536,0.1792,0.2048,0.192,2.56,2.2272,0.2944,0.6016,0.0256,0.0,0.0,0.0256,0.0,0.0256,3.3024,0.5632,0.0,0.0,1.2672,0.9728,0.2944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6144,0.0256,0.0
3978,Richie Mccaw,Back Row,1,0,42,2756,0.43541364296081275,14.02031930333817,12.365747460087082,1.6545718432510883,10.653120464441217,1.7126269956458635,1.0449927431059505,7.895500725689404,15.994194484760522,0.05880218560573722,0.5805515239477503,1.5094339622641508,4.499274310595065,0.2612481857764876,0.4063860667634252,0.6095791001451378,0.3483309143686502,5.37010159651669,4.121915820029027,0.6386066763425253,1.1320754716981132,0.05805515239477503,0.0,0.0,0.05805515239477503,0.0,0.05805515239477503,1.015965166908563,0.14513788098693758,0.029027576197387515,0.0,3.3091436865021766,2.757619738751814,0.5515239477503628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5094339622641508,0.08708272859216255,0.0
3979,Richie Mo'Unga,Fly Half,0,1,48,3109,7.745255709231265,7.230620778385333,5.45513026696687,1.7754905114184627,3.3451270504985526,1.9813444837568353,0.8491476358957865,8.440012865873271,44.72177549051142,0.13634687649546165,0.4374396912190415,1.6725635252492763,1.64683177870698,0.23158571888066903,1.9041492441299455,2.6503698938565456,1.003538115149566,25.989064007719527,22.97844966227083,0.5146349308459313,1.3380508201994212,8.67159858475394,6.021228690897395,4.348665165648119,13.020263750402059,6.690254100997105,6.35574139594725,0.28304921196526217,0.0,0.15439047925377936,0.0,5.789642972016726,5.2492762946284985,0.5403666773882277,1.286587327114828,0.9778063686072693,0.3087809585075587,2.341588935348987,1.8269540045030557,0.5146349308459313,0.07719523962688968,0.0,0.07719523962688968,0.3345127050498553,0.0,0.0
3980,Richie Pugh,Back Row,1,0,13,492,1.6260162601626016,13.333333333333332,12.682926829268292,0.6504065040650406,12.195121951219512,0.4878048780487805,0.8130081300813008,5.0406504065040645,7.967479674796747,0.2570154733805402,0.6504065040650406,0.0,4.5528455284552845,0.0,0.0,0.16260162601626016,0.0,2.113821138211382,2.113821138211382,0.975609756097561,0.8130081300813008,0.16260162601626016,0.0,0.0,0.16260162601626016,0.0,0.16260162601626016,0.4878048780487805,0.3252032520325203,0.16260162601626016,0.0,1.4634146341463414,1.4634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1382113821138211,0.0,0.0
3981,Richie Rees,Scrum Half,0,1,90,4747,0.7583737097113967,6.066989677691174,4.98841373499052,1.0785759427006532,3.488519064672425,1.4493364230040027,0.6572572150832104,6.117547925005266,22.818622287760693,0.06286121842358318,0.47187697493153574,0.33705498209395407,1.4661891721087004,0.10111649462818623,1.0785759427006532,0.9606066989677692,1.4493364230040027,64.00674109964189,60.28228354750369,0.3876132294080472,1.5167474194227935,3.943543290499263,0.8089319570254898,0.08426374552348852,4.027807036022751,1.3819254265852117,2.7132926058563305,0.03370549820939541,0.016852749104697706,0.08426374552348852,0.0,2.7975563513798187,2.4773541183905623,0.3202022329892564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6572572150832104,0.05055824731409311,0.0
